STRATUM	AUDIT_ID	CANDIDATE_ID	CHAIN_ID	DECIDED_AT	DECISION	DECISION_CATEGORY	TARGET_TREND_ID	PROMOTED_TO	SIM_BAND	MAX_NEIGHBOR_SIM	TURN_EXHAUSTED	ET_RESCUE_ROUTED	ET_WAS_SECOND_SOURCE	N_FAMILIES	CLUSTER_SIZE	SOURCE_COUNT	CAND_CONFIDENCE	SPECIFICITY_SCORE	DISTILLATION_VERDICT	TOPIC
S02_defer_needs_signal	3958fd33-89b4-4209-8a81-e4da17727a2a	cand-i8oy721tmpcvfqa0	chain-d15ee7f8-375e-4e70-881d-e47c5ae09223	2026-05-19T13:15:22	DEFER	NEEDS_MORE_SIGNAL		7cc16b33-ad21-44ce-bd44-03f096cbc081	lt060	0.5111	false	false	false	2	2	2	0.85	0.95	REAL_TREND	Nancy Meyers home aesthetic (slipcovered sofas, layered neutrals)
S02_defer_needs_signal	82e3d499-e39b-4ef3-890e-1b3c9ce5e22a	cand-qgxdzzjempcpq9pp	chain-13671b04-2061-4957-8f05-28a79e0cb3ad	2026-05-19T10:16:14	DEFER	NEEDS_MORE_SIGNAL		6c9f173c-0fb0-4783-a652-5c9f890f39c9	lt060	0.534	false	false	false	2	2	2	0.8	0.85	REAL_TREND	Booking off-grid nature immersion retreats for forced digital disconnection
S02_defer_needs_signal	b9237ba6-bfd7-42e2-ad36-6ce07016dc4c	cand-69bom6nxmqj0wy5e	chain-c5d5386d-3cbf-4758-b477-55d7ea40b685	2026-06-18T01:14:54	DEFER	NEEDS_MORE_SIGNAL		f4e30c93-5d51-4f9a-9a5b-ccea7a43403f	b060_070	0.6293	false	false	false	2	2	2	0.85	0.9	REAL_TREND	Rapid skin-microbiome tests for customized skincare formulations
S02_defer_needs_signal	8df22432-1d08-4b4f-82ac-a3ff4dab24bb	cand-4trsrhejmoxtv3oa	chain-e04f89d5-2edf-497f-960c-d431c15786ba	2026-05-09T01:15:12	DEFER	NEEDS_MORE_SIGNAL		d4d33b9c-c8df-4f08-b14b-b8d6400b3c35	lt060	0.5454	false	false	false	2	2	2	0.8	0.85	REAL_TREND	Functional Jelly Stick & Fruit Leather Replacements
S02_defer_needs_signal	0276adb8-fe02-4745-820f-b1a1856e81a1	cand-4trsrhejmoxtv3oa	chain-fb8d9dcb-84a3-465b-872e-bbc362e8aa14	2026-05-11T07:14:58	DEFER	NEEDS_MORE_SIGNAL		d4d33b9c-c8df-4f08-b14b-b8d6400b3c35	lt060	0.5454	false	false	false	2	2	2	0.8	0.85	REAL_TREND	Functional Jelly Stick & Fruit Leather Replacements
S02_defer_needs_signal	3da7dc32-8dca-4299-9752-2cf116813dde	cand-n7vu2kwkmp50ieej	chain-f85de5f6-e5b9-4df5-be6e-56817771f86e	2026-05-14T01:14:47	DEFER	NEEDS_MORE_SIGNAL		462664f0-8240-4285-971d-f95c32c62487	lt060	0.5339	false	false	false	2	2	2	0.8	0.9	REAL_TREND	Water Stacking: Blending multiple functional health powders into daily water
S02_defer_needs_signal	be3c54d4-d30b-4fcd-802a-bf8111990780	cand-n7vu2kwkmp50ieej	chain-e9206be4-6bfe-41a4-82f1-90043f85f575	2026-05-16T04:14:56	DEFER	NEEDS_MORE_SIGNAL		462664f0-8240-4285-971d-f95c32c62487	lt060	0.5339	false	false	false	2	2	2	0.8	0.9	REAL_TREND	Water Stacking: Blending multiple functional health powders into daily water
S02_defer_needs_signal	6f4cfd32-9a6a-4f70-a87f-f34f19b5ab79	cand-7cmhaqa0mohwyh6e	chain-22678a93-5973-44a3-ac19-5f4e1eddc7a0	2026-04-29T16:56:41	DEFER	NEEDS_MORE_SIGNAL		a621f515-ad9b-4db6-ac9b-d68ea7d643b7	none		false	false	false	2	2	2	0.67	0.79	REAL_TREND	Relaxed/wide-leg denim silhouette replacing skinny jeans as everyday default
S02_defer_needs_signal	d8c7cfb5-eaa8-4fce-a185-aa2e174abd83	cand-zpnvlpbemq57p6n0	chain-65dceef0-621e-41e3-9fd9-bcdd735c0776	2026-06-08T10:15:47	DEFER	NEEDS_MORE_SIGNAL		4b147962-1023-4a65-8a85-0f9abaf34d1c	lt060	0.5376	false	false	false	2	2	2	0.75	0.85	REAL_TREND	Daily Biological Repair Serum Rituals
S03_dedup_branch	dcadcf9a-ae0d-4ff5-a04f-e2578c0a9515	cand-7jl1o8r7mt8quxk5	chain-e5cab14a-ebb7-4b0b-b407-9f2828f16a3d	2026-09-08T21:36:38	MERGE_INTO_EXISTING	CONFIRM_DUPE	5351c59a-edb5-4f91-afac-de7ffa5607a3	5351c59a-edb5-4f91-afac-de7ffa5607a3	b060_070	0.6674	false	true	false	1	2	1	0.95	0.8	DUPLICATE_OF	grocery tourism
S03_dedup_branch	5466bef3-0009-40ee-9487-7aedd04c5307	cand-addez0rjmu8e1ezp	chain-47ea55e8-84d8-4b5f-8393-cc31094d9523	2026-09-19T10:15:18	MERGE_INTO_EXISTING	CORRECTED_DEDUP_TARGET	fe868f01-f1e9-4e28-835c-625fe524ea06	fe868f01-f1e9-4e28-835c-625fe524ea06	b060_070	0.6627	false	true	false	1	1	1	0.9	0.9	DUPLICATE_OF	Olfactive Stacking
S04_over_reject_promote	6bc65697-dfdc-45c8-a43c-1f9454f3d945	cand-a41h30h7msmzx6ma	chain-702a511a-013b-400d-81af-0d0f8d06d127	2026-08-10T07:15:19	REJECT	OVER_REJECT_PROMOTE			lt060	0.5268	false	true	false	1	1	1	0.9	0.9	REAL_TREND	Multi-Step Oral Skinification Routines
S04_over_reject_promote	a7428f52-d3e6-4138-8227-4c4b722a8b3f	cand-gjnab3jmmsbvskb0	chain-957addf3-c8d6-4a6a-a55a-76533a5941e9	2026-08-02T10:17:35	REJECT	OVER_REJECT_PROMOTE			b060_070	0.6559	false	true	false	1	2	1	0.8	0.9	REAL_TREND	Booking vibroacoustic 'sound-bed' sessions for nervous system regulation
S05_reject_needs_signal	c64250bf-ab80-4bf6-8773-a5cc00d9b225	cand-bzqzvp9umu1bpn03	chain-730a7976-c33c-4d4b-982d-9c1ab84a398e	2026-09-14T10:14:53	REJECT	NEEDS_MORE_SIGNAL			b060_070	0.6036	false	true	false	1	2	1	0.9	0.95	REAL_TREND	Using pH-reactive lip balms for personalized color tint
S05_reject_needs_signal	196e1a7c-9c61-4d97-869a-61ede68fb122	cand-opeh20lemsqt1jxs	chain-12a61c69-9688-4ca3-ad82-31065a8fe6f9	2026-08-12T22:15:18	REJECT	NEEDS_MORE_SIGNAL			lt060	0.5605	false	true	false	1	1	1	0.95	0.95	REAL_TREND	Tanmaxxing (Timed UV Routines)
S05_reject_needs_signal	36538477-e23e-46d4-9775-9337cd979047	cand-8gg1l18lmtptbeee	chain-96d7337f-4b49-4907-b4b6-fdf0389dcf38	2026-09-06T10:15:04	REJECT	NEEDS_MORE_SIGNAL			lt060	0.5191	false	true	false	0	0	0	0.85	0.85	REAL_TREND	Everyday Clothing Rental Subscriptions
S05_reject_needs_signal	d9426c95-08dc-4059-a628-fa1e302532f4	cand-xc13yt0wmt8quxk5	chain-f85fcbbf-3e33-47e9-af0a-2d61b4657d00	2026-08-25T10:15:29	REJECT	NEEDS_MORE_SIGNAL			none		false	true	false	1	1	1	0.85	0.95	REAL_TREND	glutathione film
S06_ge080_all	72e0b1ae-a39e-4bd2-93da-7a46b715e414	cand-5eh1cccqmtzw7j6a	chain-ac1ae2d1-fffd-4661-bf4a-d7a107c57446	2026-09-13T10:15:19	MERGE_INTO_EXISTING	MISSED_DUPLICATE	031135f3-956d-497e-8895-f034864e9488	031135f3-956d-497e-8895-f034864e9488	ge080	0.8499	false	false	false	2	3	2	0.85	0.9	REAL_TREND	Using 'dry shampoo for clothes' sprays to refresh garments between washes
S06_ge080_all	be612d5f-e71e-4906-b957-558e1e9d31e4	cand-7oz872e5msrlmbou	chain-65272fdc-ac4a-42e9-ab49-aec5cd040387	2026-08-13T10:15:53	MERGE_INTO_EXISTING	MISSED_DUPLICATE	b7c212f1-cbba-4a05-b649-f909111054cd	b7c212f1-cbba-4a05-b649-f909111054cd	ge080	0.8132	false	true	false	1	1	1	0.9	0.95	REAL_TREND	Mass Market HOCl Skin Sprays
S06_ge080_all	d5bd4a51-285b-49da-9d5d-975d83b5fb2c	cand-xcxoymdtmrtpadtw	chain-f94b11aa-3a09-44b9-a91e-5d3b749c1b73	2026-07-20T19:14:47	MERGE_INTO_EXISTING	MISSED_DUPLICATE	f1d39a12-adab-476c-ad33-1f824b40fe22	f1d39a12-adab-476c-ad33-1f824b40fe22	ge080	0.8182	false	true	false	1	2	1	0.8	0.8	REAL_TREND	Repurposing silk scarves as alternative summer tops and belts
S06_ge080_all	a9153d05-82a7-47aa-8ed5-f9ea114370f8	cand-zef1ualomrizhkru	chain-967d733f-0335-4f6a-a1da-d4b02c89e566	2026-07-13T07:15:02	MERGE_INTO_EXISTING	MISSED_DUPLICATE	c65ac1e4-c137-4888-bebd-204a6dd35bb0	c65ac1e4-c137-4888-bebd-204a6dd35bb0	ge080	0.8262	false	true	false	1	1	1	0.6	0.85	REAL_TREND	Consumers buying food blind boxes and collectible grocery items for unboxing thrill
S06_ge080_all	bd1c58f8-8d66-403e-a6c7-699d6d1eaefb	cand-af9e1fgsmrtb0iyt	chain-fccd0122-eb66-4a58-a38a-f859d5a7316f	2026-07-20T10:15:43	MERGE_INTO_EXISTING	MISSED_DUPLICATE	d252a219-d0d4-4957-8772-ed74bde45336	d252a219-d0d4-4957-8772-ed74bde45336	ge080	0.8113	false	true	false	1	2	1	0.8	0.9	REAL_TREND	Using nicotine-free nootropic pouches for on-demand focus
S06_ge080_all	e0adad1e-feb7-4cd5-b103-6c058699b98c	cand-tpnos0v3mstwgokl	chain-f22b9e23-a6ab-4267-bdc1-8119b2b1e61a	2026-08-15T01:15:10	REJECT	CONFIRM_REJECT			ge080	0.8214	false	true	false	1	1	1	0.85	0.9	REAL_TREND	Aesthetic services for GLP-1 weight loss side effects
S06_ge080_all	bcb2de94-9b14-4c52-a778-253ba5f8aa60	cand-1vh8qmkjms7lejw7	chain-0ea9207e-4a46-4100-9787-045a24ce02fa	2026-07-30T10:15:12	MERGE_INTO_EXISTING	MISSED_DUPLICATE	045d4e05-6dec-40ec-bf40-d97f52a52284	045d4e05-6dec-40ec-bf40-d97f52a52284	ge080	0.8197	false	true	false	1	2	1	0.85	0.9	REAL_TREND	Reapplying midday sun protection via over-makeup SPF powders and mists
S06_ge080_all	991dd758-56d0-46f9-b5e4-2b0b0244b6bf	cand-gzbq7p8nmrp0qdki	chain-aebb6dac-656b-4d9c-95f1-cd65907c0a74	2026-07-17T10:15:38	MERGE_INTO_EXISTING	MISSED_DUPLICATE	2ac227b5-21fa-4b50-937f-6d3ad75b0640	2ac227b5-21fa-4b50-937f-6d3ad75b0640	ge080	0.8532	false	true	false	1	2	1	0.85	0.95	REAL_TREND	Virtual body-doubling for ADHD and remote work focus
S06_ge080_all	c7bcb809-04cd-4370-927d-b5f239e1132f	cand-muqup9k1mtw8rkvc	chain-e1c6b159-1276-4a9f-b18c-23c27ebe4181	2026-09-10T22:15:10	MERGE_INTO_EXISTING	MISSED_DUPLICATE	a1c2c095-576d-4c92-9c72-b8e4661d5b79	a1c2c095-576d-4c92-9c72-b8e4661d5b79	ge080	0.861	false	true	false	1	1	1	0.8	0.95	REAL_TREND	Adopting bemotrizinol (BEMT) sunscreens for daily wear
S06_ge080_all	d082dcab-26f5-46e1-ab6f-97c0a6e38fb0	cand-6os9kkz6mt1it8qy	chain-6887f8df-dfc5-4c0a-b2c2-ec699450fb42	2026-08-20T10:15:12	MERGE_INTO_EXISTING	MISSED_DUPLICATE	173ad768-c0dc-4ace-bedb-84b4f6d2380b	173ad768-c0dc-4ace-bedb-84b4f6d2380b	ge080	0.861	false	true	false	1	1	1	0.95	0.95	REAL_TREND	GHK-Cu copper peptide serums for skin repair and firmness
S06_ge080_all	95841900-11d3-4b3b-a3bd-291a4a72f715	cand-1m2kszx8msrzv66c	chain-1b6e9462-453d-458f-8c04-96396dba95a5	2026-08-13T19:14:59	MERGE_INTO_EXISTING	MISSED_DUPLICATE	a6f1db2a-4887-4307-a188-f0256ef000fc	a6f1db2a-4887-4307-a188-f0256ef000fc	ge080	0.8502	false	true	false	1	2	1	0.8	0.85	REAL_TREND	Alternating alcoholic and non-alcoholic drinks to pace intake
S06_ge080_all	d5919bee-033a-4d8d-88d9-7fc20be8c534	cand-gyzc2tofmteds12q	chain-fa0d2622-a2ab-410a-be2c-8f7298d33126	2026-08-29T10:14:54	MERGE_INTO_EXISTING	MISSED_DUPLICATE	0d291db0-87d6-460b-a8c0-9bcf0b3b5bf7	0d291db0-87d6-460b-a8c0-9bcf0b3b5bf7	ge080	0.8285	false	true	false	0	0	0	0.8	0.9	REAL_TREND	Cottage cheese as a versatile high-protein base for snacks
S06_ge080_all	90fefb42-3b1f-4ce6-bf61-13f5f6886926	cand-fyff3rlwmrjp9aix	chain-4e634b05-a5b3-4224-81a4-ca3020344fab	2026-07-13T19:15:04	MERGE_INTO_EXISTING	MISSED_DUPLICATE	73c8167b-db45-4c24-a90d-8e52575ac9c1	73c8167b-db45-4c24-a90d-8e52575ac9c1	ge080	0.8001	false	true	false	1	1	1	0.95	0.9	REAL_TREND	Non-Diabetic CGM Tracking
S06_ge080_all	c3488a66-d732-4dad-8ec0-1bb2512af24e	cand-f5ymorw0mrunltvj	chain-8cc77b5b-bfdd-47e9-a5e8-43fa2cdd2d1f	2026-07-21T10:15:19	MERGE_INTO_EXISTING	MISSED_DUPLICATE	9a73f315-1a60-4f12-a0af-83b0d38a1844	9a73f315-1a60-4f12-a0af-83b0d38a1844	ge080	0.8756	false	true	false	1	1	1	0.85	0.95	REAL_TREND	Color drenching interiors (painting walls, ceiling, trim same bold color)
S06_ge080_all	9f3f1de3-31f0-44a6-97bc-4068a9eb6186	cand-1lrl6kj9mqwu6p9j	chain-05e99a9f-e3a4-4499-8722-bcbe26fb52e7	2026-06-27T19:15:05	MERGE_INTO_EXISTING	MISSED_DUPLICATE	336837f8-5e44-452f-ae12-cc86aec14450	336837f8-5e44-452f-ae12-cc86aec14450	ge080	0.8459	false	false	false	2	2	2	0.8	0.85	REAL_TREND	'Fricy' Flavor Combinations (Fruity + Spicy) in Snacks and Beverages
S06_ge080_all	4fe37fae-9c16-43c2-8132-1c5295032b0a	cand-yskefuw8mu1he57w	chain-d5ea96c6-55be-4520-89c9-12fa195f1a8b	2026-09-14T13:15:26	MERGE_INTO_EXISTING	MISSED_DUPLICATE	031135f3-956d-497e-8895-f034864e9488	031135f3-956d-497e-8895-f034864e9488	ge080	0.8131	false	false	false	2	2	2	0.85	0.9	REAL_TREND	Dry wash sprays for clothes
S06_ge080_all	b94c570e-b8b0-4dda-9c00-e00da9c095e3	cand-712sclh0mtz3nsks	chain-a22800fa-3206-485a-865e-962409c2f964	2026-09-12T22:14:56	MERGE_INTO_EXISTING	MISSED_DUPLICATE	031135f3-956d-497e-8895-f034864e9488	031135f3-956d-497e-8895-f034864e9488	ge080	0.8434	false	false	false	2	2	2	0.85	0.9	REAL_TREND	Using 'dry shampoo for clothes' to refresh garments between washes
S06_ge080_all	eca150f0-5ba1-48f5-b754-cf43569fc4e6	cand-2ptakvg9mu9cbyrh	chain-a5d2f398-a864-42e2-ae48-07a035f97758	2026-09-20T01:15:04	MERGE_INTO_EXISTING	MISSED_DUPLICATE	a6f1db2a-4887-4307-a188-f0256ef000fc	a6f1db2a-4887-4307-a188-f0256ef000fc	ge080	0.8352	false	true	false	1	1	1	0.85	0.9	REAL_TREND	Zebra-striping (alternating alcoholic and NA drinks)
S06_ge080_all	e01290f5-cabc-46b2-b370-0dd4347aea48	cand-nz9wgjw8mtj5961n	chain-5ade57e5-e6fd-4ff6-b874-2e9c13b2d5d8	2026-09-01T19:15:12	MERGE_INTO_EXISTING	MISSED_DUPLICATE	9a73f315-1a60-4f12-a0af-83b0d38a1844	9a73f315-1a60-4f12-a0af-83b0d38a1844	ge080	0.8844	false	true	false	0	0	0	0.9	0.9	REAL_TREND	Color Drenching Interiors
S06_ge080_all	ac4816a0-ba6c-49c1-81b8-f313db783251	cand-6gizh7tsmss8fr6z	chain-e5c7fe07-98a5-487b-9e52-29c4a93efb22	2026-08-13T22:14:51	MERGE_INTO_EXISTING	MISSED_DUPLICATE	a6f1db2a-4887-4307-a188-f0256ef000fc	a6f1db2a-4887-4307-a188-f0256ef000fc	ge080	0.8717	false	false	false	2	2	2	0.8	0.85	REAL_TREND	Alternating alcoholic and non-alcoholic drinks for pacing
S06_ge080_all	011bfe3a-8c6b-4a5e-b0ff-6a8f2a4aaa09	cand-zmfsnktfms6k9g3h	chain-cf0d0a85-cc61-4279-827b-0804189f70db	2026-07-29T19:14:49	MERGE_INTO_EXISTING	MISSED_DUPLICATE	98b67c8b-3f1c-4ac6-b773-745d0eb23f62	98b67c8b-3f1c-4ac6-b773-745d0eb23f62	ge080	0.904	false	true	false	1	2	1	0.8	0.9	REAL_TREND	Sensory-friendly 'quiet hours' at major retailers
S06_ge080_all	3398620c-2c97-452f-81f3-d68301eed09c	cand-7twu3v8mms3b2zsk	chain-a8445153-fe85-49d1-b475-4220634d9e44	2026-07-27T10:15:33	MERGE_INTO_EXISTING	MISSED_DUPLICATE	cffb5872-b5e3-452f-ab0b-97eaa68a64ef	cffb5872-b5e3-452f-ab0b-97eaa68a64ef	ge080	0.8335	false	true	false	1	2	1	0.9	0.9	REAL_TREND	Replacing creatine powders with snackable gummy formats for daily wellness
S06_ge080_all	c8d4b6f7-b0ce-404d-a4a5-c8dbd81ac8cf	cand-yhute3tdmrunlqe0	chain-8cc77b5b-bfdd-47e9-a5e8-43fa2cdd2d1f	2026-07-21T10:15:07	MERGE_INTO_EXISTING	MISSED_DUPLICATE	515be16c-0f0c-4c3d-8ed1-163e75670b9e	515be16c-0f0c-4c3d-8ed1-163e75670b9e	ge080	0.8123	false	true	false	1	2	1	0.9	0.95	REAL_TREND	Dubai chocolate (pistachio knafeh) expanding into cheesecakes and ice cream
S06_ge080_all	29af97b3-479d-48ca-8aee-37dbd784489e	cand-jme1q3ehmu3mkl30	chain-7258ccd7-96fc-4558-9c4f-f76aaf7f74d2	2026-09-16T01:15:01	MERGE_INTO_EXISTING	MISSED_DUPLICATE	c14b6ddf-299a-4d25-9ae0-2395e704a88d	c14b6ddf-299a-4d25-9ae0-2395e704a88d	ge080	0.8019	false	true	false	1	2	1	0.8	0.95	REAL_TREND	Office Siren Aesthetic
S06_ge080_all	7d3e6379-2467-4601-a976-7635b4a39617	cand-jjsxvj16mtuc8zba	chain-54bac4d3-3ba4-4d4b-993e-26650b18ee7a	2026-09-09T13:15:01	MERGE_INTO_EXISTING	MISSED_DUPLICATE	d781c8dd-eda4-44b6-bc33-9c632941021b	d781c8dd-eda4-44b6-bc33-9c632941021b	ge080	0.8383	false	true	false	1	1	1	0.85	0.95	REAL_TREND	Applying PDRN (salmon DNA) serums for skin repair
S06_ge080_all	cc28bdc4-8072-40b4-a21c-d9ce9f8008af	cand-idboqmmkmu108zan	chain-39711069-9bda-424c-9811-34f91da4a444	2026-09-14T07:14:55	MERGE_INTO_EXISTING	MISSED_DUPLICATE	031135f3-956d-497e-8895-f034864e9488	031135f3-956d-497e-8895-f034864e9488	ge080	0.8442	false	false	false	2	3	2	0.85	0.9	REAL_TREND	Using 'dry shampoo for clothes' to refresh garments between washes
S06_ge080_all	587ea11c-1ba5-4d1b-973b-6ff73093a65a	cand-pfyfqt8lmsudlkgc	chain-4132f839-8b0a-4dc3-880c-414f2995a735	2026-08-15T10:14:58	MERGE_INTO_EXISTING	MISSED_DUPLICATE	a6f1db2a-4887-4307-a188-f0256ef000fc	a6f1db2a-4887-4307-a188-f0256ef000fc	ge080	0.8634	false	true	false	1	1	1	0.8	0.9	REAL_TREND	Zebra Striping (Alternating alcoholic and NA drinks)
S07_contested_not_merge	94fb0300-2510-4cb5-9fa0-e52d3ddeaa1e	cand-oo0l7bq5mu5lzowk	chain-dd928485-7d93-41be-9876-604e02724ca9	2026-09-17T10:15:29	REJECT	LOW_QUALITY			contested	0.7945	false	true	false	1	2	1	0.8	0.9	REAL_TREND	Portable personal cooling fans as fashion accessories
S07_contested_not_merge	f569c49d-6dd3-4382-a2d4-8da4d01729fd	cand-on6jwhjzms54to75	chain-e5f0bbc9-4eb4-452c-97c3-fcbe577c269f	2026-07-28T19:14:56	PROMOTE_NEW	CONFIRM_NEW	a498fe9d-2e53-4f3c-8ec7-f4c7c9d8ae5f	a498fe9d-2e53-4f3c-8ec7-f4c7c9d8ae5f	contested	0.7289	false	false	false	2	2	2	0.85	0.95	REAL_TREND	Cold-air nebulizing diffusers for hotel-grade home scenting
S07_contested_not_merge	eb1da209-7c46-45f0-935f-fb5a111f9a6d	cand-9so12fvkmtlrk9n5	chain-10d0a8b2-8d80-4d18-9ec4-3d34cbbbc8f7	2026-09-03T13:14:59	REJECT	LOW_QUALITY			contested	0.7082	false	true	false	0	0	0	0.85	0.95	REAL_TREND	Consuming creatine-infused everyday sodas and snacks for cognitive and aging benefits
S07_contested_not_merge	bd3414b1-d553-4f2f-aaf5-3e11442190fd	cand-cpc4l6mtms0g73gc	chain-da98ec94-7f35-4977-a0c4-f8d980c714ea	2026-07-25T10:15:07	REJECT	LOW_QUALITY			contested	0.758	false	true	false	1	3	1	0.85	0.9	REAL_TREND	Attending in-store retailtainment events and fandom pop-ups
S07_contested_not_merge	f97d6a64-0e6a-44e6-b73a-6c4023763271	cand-05hug3fzmskunwwv	chain-370dd577-fb1d-47cb-8692-356e7cb5d433	2026-08-08T19:14:54	PROMOTE_NEW	CONFIRM_NEW	f0bc96e3-e476-44aa-b5ef-cfe97812eb07	f0bc96e3-e476-44aa-b5ef-cfe97812eb07	contested	0.7249	false	false	false	2	2	2	0.85	0.8	REAL_TREND	Delegating holiday gift research to AI shopping assistants
S07_contested_not_merge	9fc6a1af-368b-4aca-8a3f-f1946d147e9c	cand-vqlnkdfnmtxfmq7j	chain-d5159c0b-b5f8-4637-97e6-6ca306ebf23d	2026-09-11T19:14:53	REJECT	LOW_QUALITY			contested	0.7843	false	true	false	1	1	1	0.9	0.9	REAL_TREND	Swicy (sweet-spicy) flavor profiles in snacks and beverages
S07_contested_not_merge	b4c13c59-8406-4f41-8e0a-db2ad4ba5018	cand-o332rjugmspdk41v	chain-50fbfdd1-5cfc-4b5f-9a38-ccc96983ad69	2026-08-11T22:15:01	REJECT	LOW_QUALITY			contested	0.7222	false	true	false	1	2	1	0.85	0.95	REAL_TREND	Topical NAD+ serums for cellular longevity and anti-aging
S07_contested_not_merge	a4020399-c175-4af2-96d6-6b678a03771c	cand-aehdlgytmpbacleh	chain-796a88c5-d0b1-4d23-b5f6-55059bf28dff	2026-05-18T13:15:28	PROMOTE_NEW	CONFIRM_NEW	2489b0a7-560b-4ea4-91b3-05e8d0f70bae	2489b0a7-560b-4ea4-91b3-05e8d0f70bae	contested	0.7003	false	false	false	2	3	2	0.85	0.9	REAL_TREND	'Swavory' (savory-sweet) flavors in RTD beverages & snacks
